Concept name,Parts
boats has 42 concepts,
polar research vessel,"helideck, satellite navigation and communications, hull, crane, bridge"
banana boat,"inflation valve, towing ring, hull, handle, seating tube"
shell (crew boat),"cabin, bow, oar, deck, hull"
airboat,"hull, seating area, rudder, steel cage, propeller, steering stick, stern plate"
pedal boat,"helm, hull, footpedal, seating area"
row boat,"stern, seat, gunwale, oar, bow"
houseboat,"stairs, swim platform, lounge area, upper deck, helm station"
ambulance,"position lights, radio communication system, life rings, emergency lights"
amphibian,"propeller, hull, retractable wheels"
raft,"paddle, crossbeam, floats, deck, seat tracks, hull, floor"
hydrofoil,"hull, deck, strut, wing, rudder"
engineering vessel,"hull, crane"
hydroplane,"propeller, cockpit, hull, stern, float, sponson, stern gate, pilot house"
ice sailing,"hull, sail, boom, steering rod"
paddle board,"bungee, tail, leash cup, handle, nose"
jet ski,"hull, handlebars, seat"
pontoon,"railing, bimini top, nose cone, floats, fence, deck"
yacht,"stern, cockpit, mast, bow"
motor boat,"anchor, steering wheel, flybridge, hard top, cleat, hull, outboard motor"
frigate,"missile, helideck, radar, launcher, turret"
hovercraft,"hull, propeller guard, lift fan, deck, wing, skirt"
icebreaker ship,"cabin, icebraker bow, hull, radar, deck"
destroyer,"bridge, smoke funnel, helideck, jackstaff, deck gun, radar mast"
patrol torpedo,"radar, torpedo tubes, hull, machine gun mount, cockpit"
landing craft,"pilot house, bow ramp, stern gate, hull"
barge,"winch, cabin, hull, ramp, cargo hold, deck"
navigation,"sextant, gps receiver, compass, radar, chart plotter"
aircraft,"landing deck, radar, runway"
amphibious,"track system, wheel, hull"
fishing boat,"trolling motor, console, rod holder"
trawler,"outrigger, hull, wheelhouse"
tour boat,"seating area, propeller"
surf board,"nose, fins, deck, tail, rails"
submarine,"sail, conning tower, periscope, radar and radio antenna, ballast tank, diving rudders"
canoe,"hull, paddle, thwart"
bumper boat,"seating area, joystick, helm, hull, control box"
sail boat,"jib, mast, sail, hull, boom, mainsail"
kayak,"paddle, deck, hull"
fire boat,"fire camera, water cannon, control cabin"
cabin cruiser,"hatch, swim platform, helm station"
missile,"fins, launcher, warhead"
ferry,"lifeboat, car deck"
,
office supplies has 74 concepts,
